127.0.0.1 - - [04/Jul/2017:20:06:24 +0800] "GET / HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 200 7124
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/css/add.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/img/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /EecUserInfo/img/x11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:26 +0800] "GET /favicon.ico HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:31 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:31 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:39 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:39 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:44 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:44 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:06:46 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:08:39 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:08:39 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 200 7124
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:08:40 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:08:45 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:10:30 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:10:30 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:10:31 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:48 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:48 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 200 7126
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:48 +0800] "GET /EecUserInfo/js/jquery-1.7.2.min.js HTTP/1.1" 200 94843
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:48 +0800] "GET /EecUserInfo/css/add.css HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:49 +0800] "GET /EecUserInfo/img/back1.jpg HTTP/1.1" 200 83411
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:49 +0800] "GET /EecUserInfo/img/x11.jpg HTTP/1.1" 200 25423
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:11:50 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:12:05 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:12:06 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:14:24 +0800] "GET /EecUserInfo/Z6Admin/TeacherUPD.jsp HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:14:24 +0800] "GET /EecUserInfo/Z6Admin/js/adminClassOperation.js HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [04/Jul/2017:20:14:25 +0800] "POST /EecUserInfo/AdminServlet HTTP/1.1" 200 477
